Provincia;HUB;FP;LP;ULP;HP;ELP;QP;MQP;FP;LP;ULP;HP;ELP;QP;MQP
SA (Costiera);BO;211,38;185,32;166,27;153,86;140,17;107,66;82,73;204,85;178,65;161,04;149,43;136,51;104,27;79,07
BA;BO;121,01;104,58;84,96;83,27;73,73;63,72;56,21;115,4;98,43;80,92;78,96;70,34;60,85;52,67
BR;BO;131,74;114,25;98,17;89,67;78,96;67,24;58,43;124,94;106,28;92,3;84,44;74,78;63,59;54,5
BT;BO;120,1;103,79;84,44;82,61;73,34;63,46;56,08;114,08;97,13;79,87;78,16;69,55;60,32;52,41
FG;BO;124,28;107,32;92,82;84,96;75,17;64,76;56,73;117,75;100,65;87,59;80,39;71,51;61,37;53,07
FG (Isole);BO;332,28;289,32;248,82;214,96;179,17;155,76;128,23;325,75;282,65;243,59;210,39;175,51;152,37;124,57
LE;BO;131,87;114,38;98,3;89,81;79,09;67,24;58,43;125,07;106,41;92,3;84,44;74,91;63,72;54,5
TA;BO;131,07;113,73;97,65;89,28;78,7;66,98;58,3;124,42;105,75;91,89;84,05;74,38;63,46;54,37
MT;BO;145,21;126,28;107,58;97,65;85,76;71,04;60,91;135,92;116,35;99,87;91,11;80,14;66,72;56,6
PZ;BO;145,21;126,28;107,58;97,65;85,76;71,04;60,91;139,19;119,22;102,23;93,08;81,84;67,78;57,38
CS;BO;151,86;132,56;122,36;101,71;89,16;72,87;62,23;145,86;125,76;116,35;97,13;85,5;69,47;58,56
CZ;BO;151,86;132,56;122,36;101,71;89,16;72,87;62,23;145,86;125,76;116,35;97,13;85,5;69,47;58,56
KR;BO;152,91;133,6;123,27;102,36;89,68;73,26;62,49;145,86;125,76;116,35;97,13;85,5;69,47;58,56
RC;BO;157,49;137,52;126,94;104,97;91,91;74,84;63,53;150,95;130,2;120,4;100,26;87,98;71,3;59,73
VV;BO;152,91;133,6;123,27;102,36;89,68;73,26;62,49;145,86;125,76;116,35;97,13;85,5;69,47;58,56
AG;BO;204,55;189,42;164,07;133,6;115,18;89,21;78,57;190,82;175,43;151,77;124,18;107,47;83,2;72,68
AG (Isole);BO;529,55;423,42;374,67;320,8;255,58;182,81;125,37;515,82;409,43;362,37;311,38;247,87;176,8;119,48
CL;BO;204,55;189,42;164,07;133,6;115,18;89,21;78,57;190,82;175,43;151,77;124,18;107,47;83,2;72,68
CT;BO;179,58;166,55;144,19;118,31;102,89;81,1;72,16;172,26;158,7;137,39;113,21;98,31;77,58;68,49
EN;BO;184,56;170,46;148,12;121,44;105,11;82,68;73,2;177,09;162,37;141,06;116,09;100,54;78,88;69,29
ME;BO;182,98;169,68;146,8;120,4;104,58;82,16;73,2;176,7;162,89;140,93;115,83;100,67;79,01;69,68
ME (Isole);BO;507,98;403,68;357,4;307,6;244,98;175,76;120;501,7;396,89;351,53;303,03;241,07;172,61;116,48
PA;BO;185,6;172,17;148,9;121,96;105,89;82,94;73,73;179,06;165,24;142,75;117,26;101,84;79,67;70,33
PA (Isole);BO;510,6;406,17;359,5;309,16;246,29;176,54;120,53;504,06;399,24;353,35;304,46;242,24;173,27;117,13
RG;BO;183,37;169,16;147,19;120,53;104,45;82,29;72,94;175,79;161,44;140,14;115,31;100;78,49;68,88
SR;BO;184,41;170,33;148,12;121,31;104,98;82,68;73,2;178,28;163,67;141,97;116,74;101,19;79,28;69,55
TP;BO;187,04;173,48;150,08;122,75;106,54;83,46;74,25;178,02;164,06;141,84;116,61;101,19;79,28;69,94
TP (Isole);BO;512,04;407,48;360,68;309,95;246,94;177,06;121,05;503,02;398,06;352,44;303,81;241,59;172,88;116,74
CA;BO;188,85;171,37;151,47;124,02;106,79;84,78;69,52;178,28;160,39;141,73;116,48;100,76;79,97;64,72
NU;BO;188,85;171,37;151,47;124,02;106,79;84,78;69,52;178,28;160,39;141,73;116,48;100,76;79,97;64,72
OR;BO;188,85;171,37;151,47;124,02;106,79;84,78;69,52;178,28;160,39;141,73;116,48;100,76;79,97;64,72
SS;BO;188,85;171,37;151,47;124,02;106,79;84,78;69,52;178,28;160,39;141,73;116,48;100,76;79,97;64,72
SS (Isole);BO;254,6;237,65;210,24;175,64;150,08;120,12;93,84;244,54;227,18;200,96;168,45;144,32;115,54;89,27
SU;BO;188,85;171,37;151,47;124,02;106,79;84,78;69,52;178,28;160,39;141,73;116,48;100,76;79,97;64,72
SU (Isole);BO;254,6;237,65;210,24;175,64;150,08;120,12;93,84;244,54;227,18;200,96;168,45;144,32;115,54;89,27
